啊,"a1,ā","ah; (particle showing elation, doubt, puzzled surprise, or approval)","Type the reading, Comrade",Image
还,"hái,hai2",still; yet; in addition; even | repay; to return,"Type the reading, Comrade",Image
把,"bǎ,ba3",to hold,"Type the reading, Comrade",Image
过,"guò,guo4",to pass; to cross; go over; (indicates a past experience),"Type the reading, Comrade",Image
如果,"ru2 guo3,rúguǒ,ru2guo3,rú guǒ",if; in the event that,"Type the reading, Comrade",Image
只,"zhǐ,zhi3","only, merely","Type the reading, Comrade",Image
被,"bèi,bei4",by (indicates passive voice sentences); a quilt/blanket,"Type the reading, Comrade",Image
跟,"gēn,gen1",to follow; go with; heel,"Type the reading, Comrade",Image
自己,"zi4ji3,zìjǐ,zi4 ji3,zì jǐ",oneself; self,"Type the reading, Comrade",Image
用,"yòng,yong4",to use (Kangxi radical 101),"Type the reading, Comrade",Image
像,"xiang4,xiàng",to be like,"Type the reading, Comrade",Image
为,"wei2,wéi",to become,"Type the reading, Comrade",Image
需要,"xūyào,xū yào,xu1 yao4,xu1yao4",to need,"Type the reading, Comrade",Image
应该,"yīng gāi,yīnggāi,ying1 gai1,ying1gai1",should,"Type the reading, Comrade",Image
起来,"qi3lai5,qǐ  lai,qi3  lai5,qǐlai",to get out of bed,"Type the reading, Comrade",Image
才,"cai2,cái",talent,"Type the reading, Comrade",Image
又,"yòu,you4",also,"Type the reading, Comrade",Image
拿,"na2,ná",to hold,"Type the reading, Comrade",Image
更,"geng4,gèng",even more,"Type the reading, Comrade",Image
带,"dài,dai4",belt,"Type the reading, Comrade",Image
然后,"rán hòu,ránhòu,ran2hou4,ran2 hou4",and then,"Type the reading, Comrade",Image
一样,"yíyàng,yi2yang4,yí yàng,yi2 yang4",the same,"Type the reading, Comrade",Image
当然,"dang1 ran2,dāngrán,dāng rán,dang1ran2",of course,"Type the reading, Comrade",Image
相信,"xiang1 xin4,xiāngxìn,xiāng xìn,xiang1xin4",to believe someone,"Type the reading, Comrade",Image
认为,"ren4wei2,rènwéi,rèn wéi,ren4 wei2",to believe,"Type the reading, Comrade",Image
明白,"míng bai,ming2 bai5,míngbai,ming2bai5",clear,"Type the reading, Comrade",Image
一直,"yì zhí,yi4zhi2,yìzhí,yi4 zhi2",always,"Type the reading, Comrade",Image
地,"dì,di4",the ground,"Type the reading, Comrade",Image
地方,"dì fang,dìfang,di4 fang5,di4fang5",place,"Type the reading, Comrade",Image
离开,"li2kai1,li2 kai1,líkāi,lí kāi",leave,"Type the reading, Comrade",Image
一定,"yi2ding4,yi2 ding4,yídìng,yí dìng",certainly,"Type the reading, Comrade",Image
还是,"hai2shi5,háishi,hái shi,hai2 shi5",still,"Type the reading, Comrade",Image
发,"fa1,fā",to send,"Type the reading, Comrade",Image
发现,"fā xiàn,fa1xian4,fāxiàn,fa1 xian4",to find out,"Type the reading, Comrade",Image
而且,"er2 qie3,ér qiě,érqiě,er2qie3",in addition,"Type the reading, Comrade",Image
必须,"bìxū,bì xū,bi4xu1,bi4 xu1",must,"Type the reading, Comrade",Image
放,"fang4,fàng",to put,"Type the reading, Comrade",Image
为了,"wèile,wei4 le5,wèi le,wei4le5",in order to,"Type the reading, Comrade",Image
向,"xiang4,xiàng",direction; to turn towards,"Type the reading, Comrade",Image
老,"lǎo,lao3",old,"Type the reading, Comrade",Image
位,"wei4,wèi",position,"Type the reading, Comrade",Image
先,"xian1,xiān",before,"Type the reading, Comrade",Image
种,"zhǒng,zhong3",type of; seed,"Type the reading, Comrade",Image
最后,"zui4hou4,zui4 hou4,zuìhòu,zuì hòu",finally,"Type the reading, Comrade",Image
其他,"qítā,qí tā,qi2 ta1,qi2ta1",other,"Type the reading, Comrade",Image
