嗯,"ēn,en1","groaning sound | (interjection expressing what?, huh? hmm? why? ok, etc.)","Type the reading, Comrade",Image
杀,"shā,sha1",to kill; to murder,"Type the reading, Comrade",Image
所,"suo3,suǒ","place; that which; (mw for houses, buildings)","Type the reading, Comrade",Image
正,"zheng4,zhèng",straight; currently; correct; just (right); pure; precisely | first lunar month,"Type the reading, Comrade",Image
搞,"gao3,gǎo",do; make; be engaged in,"Type the reading, Comrade",Image
亲爱,"qīn 'ài,qīn'ài,qin1 'ai4,qin1'ai4","beloved; Dear ... (a way of starting a letter lovers, intimate friends or close relatives)","Type the reading, Comrade",Image
宝贝,"bao3bei4,bǎo bèi,bǎobèi,bao3 bei4",treasure; precious things; darling; baby,"Type the reading, Comrade",Image
枪,"qiāng,qiang1",gun; spear,"Type the reading, Comrade",Image
如何,"ru2 he2,ru2he2,rúhé,rú hé",how; what; what way,"Type the reading, Comrade",Image
女士,"nǚ shì,nv3 shi4,nǚshì,nv3shi4",lady; madam,"Type the reading, Comrade",Image
根,"gēn,gen1","root; base; (mw for long, slender objects)","Type the reading, Comrade",Image
根本,"gēn běn,gen1ben3,gēnběn,gen1 ben3",root; essence; fundamental; basic; (not) at all; simply,"Type the reading, Comrade",Image
确定,"què dìng,que4ding4,quèdìng,que4 ding4",definite; certain; fixed; determine,"Type the reading, Comrade",Image
兄弟,"xiōng dì,xiong1di4,xiong1 di4,xiōngdì",brothers; younger brother; brethren,"Type the reading, Comrade",Image
抓,"zhuā,zhua1",to carry in your hand holding strongly; catch; arrest,"Type the reading, Comrade",Image
或许,"huò xǔ,huòxǔ,huo4 xu3,huo4xu3",perhaps; maybe,"Type the reading, Comrade",Image
救,"jiu4,jiù",to save (life); to assist; to rescue,"Type the reading, Comrade",Image
唯一,"wéiyī,wéi yī,wei2 yi1,wei2yi1",only; sole,"Type the reading, Comrade",Image
表现,"biao3xian4,biǎo xiàn,biao3 xian4,biǎoxiàn",to show; to show off; display; performance,"Type the reading, Comrade",Image
拍,"pāi,pai1","to clap; to pat; to shoot (pictures, a film); send (a telegram)","Type the reading, Comrade",Image
呆,"dai1,dāi",stupid; foolish; blank; dumbstruck; to stay,"Type the reading, Comrade",Image
绝对,"jue2 dui4,juéduì,jué duì,jue2dui4",absolute; definite,"Type the reading, Comrade",Image
整个,"zheng3ge4,zhěnggè,zhěng gè,zheng3 ge4",whole; entire; total,"Type the reading, Comrade",Image
处理,"chu3 li3,chu3li3,chǔlǐ,chǔ lǐ",deal with; to process; sell at a discount; to treat (by a special process),"Type the reading, Comrade",Image
行动,"xíng dòng,xing2dong4,xíngdòng,xing2 dong4",to move; get around; action,"Type the reading, Comrade",Image
失去,"shī qù,shi1 qu4,shīqù,shi1qu4","to lose (time, an opportunity, work, etc.)","Type the reading, Comrade",Image
派,"pai4,pài",dispatch; (mw for political groups; schools of thought; etc.),"Type the reading, Comrade",Image
靠,"kào,kao4",depend on; lean on; near; to trust,"Type the reading, Comrade",Image
作为,"zuo4 wei2,zuòwéi,zuò wéi,zuo4wei2",regard as; act as; action; deed,"Type the reading, Comrade",Image
曾经,"ceng2 jing1,céngjīng,ceng2jing1,céng jīng",once; (refers to something that happened previously),"Type the reading, Comrade",Image
总统,"zong3tong3,zǒng tǒng,zong3 tong3,zǒngtǒng",president (of a country),"Type the reading, Comrade",Image
伤害,"shang1 hai4,shāng hài,shānghài,shang1hai4",injure; to harm; wound,"Type the reading, Comrade",Image
控制,"kong4 zhi4,kong4zhi4,kòngzhì,kòng zhì",to control,"Type the reading, Comrade",Image
首,"shǒu,shou3",head; chief; first; (mw for poems and songs) (Kangxi radical 185),"Type the reading, Comrade",Image
偷,"tōu,tou1",steal; pilfer,"Type the reading, Comrade",Image
哈,"hā,ha1",exhale; sip; (sound of laughter),"Type the reading, Comrade",Image
糟糕,"zao1 gao1,zāo gāo,zao1gao1,zāogāo",terrible; too bad; how terrible; what bad luck; what a mess,"Type the reading, Comrade",Image
保持,"bǎochí,bao3 chi2,bǎo chí,bao3chi2",to keep; maintain; to hold,"Type the reading, Comrade",Image
证据,"zhèngjù,zhèng jù,zheng4ju4,zheng4 ju4",evidence; proof; testimony,"Type the reading, Comrade",Image
事实,"shìshí,shi4 shi2,shi4shi2,shì shí",fact; in fact,"Type the reading, Comrade",Image
家庭,"jiā tíng,jia1ting2,jia1 ting2,jiātíng",family; household,"Type the reading, Comrade",Image
装,"zhuang1,zhuāng",to load; dress up; pretend; clothing; to install,"Type the reading, Comrade",Image
秘密,"mì mì,mi4 mi4,mìmì,mi4mi4",a secret; confidential,"Type the reading, Comrade",Image
直,"zhí,zhi2",straight; vertical; frank; directly; continuously,"Type the reading, Comrade",Image
简直,"jian3 zhi2,jian3zhi2,jiǎn zhí,jiǎnzhí",simply; at all,"Type the reading, Comrade",Image
的确,"díquè,dí què,di2 que4,di2que4",really; indeed,"Type the reading, Comrade",Image
血,"xue4,xuè",blood (Kangxi radical 143),"Type the reading, Comrade",Image
方,"fang1,fāng",square; direction; side (Kangxi radical 70),"Type the reading, Comrade",Image
方式,"fang1 shi4,fang1shi4,fāng shì,fāngshì",way; style; fashion; manner,"Type the reading, Comrade",Image
瞧,"qiao2,qiáo",look at; see (colloquial),"Type the reading, Comrade",Image
疯狂,"feng1kuang2,feng1 kuang2,fēngkuáng,fēng kuáng",crazy; madness; wild; extreme popularity; insane; frenzied; unbridled,"Type the reading, Comrade",Image
片,"piàn,pian4",(mw for pieces of things); a slice; a flake (Kangxi radical 91) | film; photo,"Type the reading, Comrade",Image
